brand,model,prod_year,mileage,engine_capacity,fuel_type,power,gearbox,body_type,doors,seats,color,condition,price
Peugeot,3008,2017,302 000 km,1 598 cm3,Benzyna,165 KM,Automatyczna,SUV,5.0,5.0,Biały,Używane,67 950        PLN
Peugeot,308,2010,121 654 km,1 598 cm3,Benzyna,120 KM,Manualna,Auta miejskie,5.0,5.0,Beżowy,Używane,21 500        PLN
Peugeot,508,2015,94 948 km,1 997 cm3,Diesel,150 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,59 000        PLN
Peugeot,2008,2016,186 547 km,1 199 cm3,Benzyna,110 KM,Manualna,SUV,5.0,5.0,Szary,Używane,43 000        PLN
Peugeot,5008,2012,250 000 km,1 997 cm3,Diesel,150 KM,Manualna,Minivan,5.0,5.0,Szary,Używane,26 500        PLN
Peugeot,5008,2012,218 500 km,1 560 cm3,Diesel,112 KM,Manualna,Minivan,5.0,5.0,Srebrny,Używane,28 900        PLN
Peugeot,3008,2015,118 000 km,1 560 cm3,Diesel,120 KM,Automatyczna,SUV,5.0,5.0,Złoty,Używane,46 200        PLN
Peugeot,Partner,2015,139 000 km,1 560 cm3,Diesel,92 KM,Manualna,Auta miejskie,5.0,2.0,Biały,Używane,36 850        PLN
Peugeot,2008,2015,120 000 km,1 560 cm3,Diesel,92 KM,Automatyczna,SUV,5.0,5.0,Szary,Używane,39 360        PLN
Peugeot,107,2009,195 000 km,998 cm3,Benzyna,68 KM,Manualna,Auta małe,5.0,5.0,Biały,Używane,16 900        PLN
Peugeot,208,2014,115 000 km,999 cm3,Benzyna,68 KM,Manualna,Auta miejskie,5.0,5.0,Czarny,Używane,24 900        PLN
Peugeot,508,2011,227 905 km,1 997 cm3,Diesel,140 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,32 903        PLN
Peugeot,2008,2016,163 700 km,1 560 cm3,Diesel,100 KM,Manualna,SUV,5.0,5.0,Biały,Używane,47 900        PLN
Peugeot,207,2009,234 810 km,1 560 cm3,Diesel,90 KM,Manualna,Auta miejskie,3.0,5.0,Szary,Używane,12 900        PLN
Peugeot,5008,2011,140 000 km,1 560 cm3,Diesel,112 KM,Manualna,Minivan,5.0,5.0,Inny kolor,Używane,21 900        PLN
Peugeot,508,2016,142 000 km,1 560 cm3,Diesel,120 KM,Manualna,Kombi,4.0,5.0,Biały,Używane,46 800        PLN
